slug,scene,genre,emerged,aka
acid,Acid,Acid,late 80s,"Acid Techno, Acid Trance, Funky Acid, Acid Disco, Acid Downtempo, Acid Dub, Acid Ambient, Acid Chill, Balearic Acid, ACIEEED!"
hardacid,Acid,Hard Acid,early 90s,"Hard Acid Techno, Hard Acid Trance"
freelandbreaks,Breakbeat,Freeland Breaks,early 00s,"dook-dook-chak, dook-dook-chak"
nuskoolbreaks,Breakbeat,Nu Skool Breaks,late 90s,"Tearout Breaks, Nu Breaks, NuSkool Breaks, Nu Skool Breakbeat, Nu-Nu-Nu-Nu-Nu-Nu-Nu-Nu Skool Breakbeat bwa bwa bwa bwa"
bigbeat,Breakbeat,Big Beat,mid 90s,Block Rockin' Beats
chemicalbreaks,Breakbeat,Chemical Breaks,early 90s,Acid Breaks
breaks,Breakbeat,Breaks,late 80s,"Breakbeat, Funky Breaks, Breakbeat House"
progressivebreaks,Breakbeat,Progressive Breaks,late 90s,"Atmospheric Breaks, Balearic Breaks, Deep Progressive Breaks, Ambient Breaks, Intelligent Breaks, Breaktrance, Vocal Progressive Breaks"
raggajungle,Drum n Bass,Ragga Jungle,early 90s,The Superior Jungle To All Other Jungle
jumpup,Drum n Bass,Jumpup,mid 90s,"Jump Up, Clownstep, SUUUUUUUUUUPER JUMPUP"
pendulum,Drum n Bass,Pendulum,mid 00s,"Nu Jumpup, Nu Skool Jumpup, Rock n Bass, Drum n Metal, dook chak dook-chak"
drumstep,Drum n Bass,Drumstep,late 00s,Dubstep
darkstep,Drum n Bass,Darkstep,late 90s,Hardstep
neurofunk,Drum n Bass,Neurofunk,late 90s,"Electrostep, Psybreaks, Psychedelic Breaks"
techstep,Drum n Bass,Techstep,mid 90s,Hardstep
microfunk,Drum n Bass,Microfunk,mid 00s,"Minimal Drum n Bass, Minimal Jungle"
darkside,Drum n Bass,Darkside,early 90s,"Jungle, Darkcore, Dark Hardcore, Hardcore Jungle, Jungle Techno, Hardstep"
liquidfunk,Drum n Bass,Liquid Funk,early 00s,"Liquid Jungle, Liquid Drum n Bass, Vocal Drum n Bass, Melodic Drum n Bass, Disco n Bass, Dancefloor"
jazzstep,Drum n Bass,Jazzstep,mid 90s,"Jazzy Jungle, Jazzy DnB, Jazz n Bass, Sambastep, Latinstep"
atmosphericjungle,Drum n Bass,Atmospheric Jungle,mid 90s,"Atmospheric Drum n Bass, Ambient Jungle, Ambient Drum n Bass, Dolphin Jungle, Intelligent Jungle, Intelligent Drum n Bass, Artcore"
oldskoolravehardcore,Hardcore,Oldskool Rave Hardcore,early 90s,"Breakbeat Hardcore, Rave, Hardcore Rave, Rave Hardcore, Hardrave, Hard Ravecore, Corehard Ravecore Rave Hard Core Hard Rave, Never Dying
"
happyhardcore,Hardcore,Happy Hardcore,mid 90s,"Bouncey Techno, Happy Gabber, Toytown"
freeform,Hardcore,Freeform,late 90s,"Trancecore, Acidcore"
ukhardcore,Hardcore,UK Hardcore,early 00s,Power Stomp
hardcore,Hardcore,Hardcore,early 90s,"Gabber, Gabba, Nu Style Gabber, Doomcore, Terrorcore, Metalcore, Deathcore"
speedcore,Hardcore,Speedcore,late 90s,"Splittercore, Flashcore, Extratone, Speedbass"
rave,Hardcore,Rave,early 90s,"Techno Rave, Rave Techno, Hardcore Techno"
eurotechno,Techno,Euro Techno,late 80s,Bleep Techno
experimentaltechno,Techno,Experimental Techno,who knows,IDM Techno
schranz,Techno,Schranz,late 90s,"Progressive Techno, Hard Tekno"
hardtechno,Techno,Hard Techno,early 90s,"Tekno, Free Tekno, Teknival"
bleeptechno,Techno,Bleep Techno,late 80s,UK Techno
detroittechno,Techno,Detroit Techno,mid 80s,Classic Techno
bangintechno,Techno,Bangin Techno,mid 90s,"Detroit Techno, German Techno, Swedish Techno, Latin Techno, Italo Techno, Jtech"
dubtechno,Techno,Dub Techno,mid 90s,Deep Techno
minimaltechno,Techno,Minimal Techno,early 90s,Detroit Techno
electro,Electro,Electro,early 80s,"Technopop, Robotpop, Electro Rap, Electrobreaks"
floridabreaks,Electro,Florida Breaks,mid 90s,Orlando Breaks
freestyle,Electro,Freestyle,early 80s,"R&B, Latin Electro"
turntablism,Hip Hop,Turntablism,early 80s,"Scratching, DJing, Mashup, Chopped And Screwed"
themedrap,Hip Hop,Themed Rap,early 90s,"Nerdcore, Horrorcore, Basketball Rap, Weed Rap, Comedy Rap"
consciousrap,Hip Hop,Conscious Rap,late 80s,"Political Rap, Protest Rap, Underground Hip Hop"
dancehall,Hip Hop,Dancehall,early 80s,"Dancehall Rap, Ragga Rap, Reggae"
rap,Hip Hop,Rap,mid to late 70s,"Freestyling, MCing, Hip Hop"
eastcoastrap,Hip Hop,Eastcoast Rap,mid 80s,"Gangsta Rap, Reality Rap, Political Rap"
bling,Hip Hop,Bling,late 90s,Gangsta Rap
westcoastrap,Hip Hop,Westcoast Rap,late 80s,"Gangsta Rap, Reality Rap, G-Funk"
southernrap,Hip Hop,Southern Rap,late 80s,"Gangsta Rap, Southern Hip Hop, Dirty South Rap"
trap,Bass,Trap,early 10s,Turn Down For What
crunk,Bass,Crunk,mid 90s,"Snap, Crunkcore, Bass Rap"
dirtysouthrap,Bass,Dirty South Rap,mid 80s,"Miami Bass, Booty Bass, Bass Rap"
miamibass,Bass,Miami Bass,mid 80s,"Bass, Ghetto Bass"
moombahton,Bass,Moombahton,late 00s,Moombah
technobass,Bass,Technobass,late 80s,"Electrobass, Audio Bass, Ghetto Bass"
ghettotech,Bass,Ghetto Tech,late 90s,"Ghetto House, Jit, Footwork"
